airport_code,latitude,longitude,altitude,timezone,dst,olson_timezone
AOI,43.616389,13.362222,10,1.0,E,Europe/Rome
,41.542301,128.243571,4410,8.0,U,Asia/Chongqing
ECA,44.311,-83.422,606,-5.0,A,America/New_York
CPO,-27.0,-70.0,1000,-4.0,S,America/Santiago
TCP,29.587778,34.778056,2415,2.0,U,Africa/Cairo
LYB,19.6591666667,-80.09083333,1,-5.0,U,America/Cayman
BJV,37.249,27.667,19,2.0,E,Europe/Istanbul
TBJ,36.978333,8.876389,0,1.0,E,Africa/Tunis
SAW,40.898553,29.309219,312,2.0,E,Europe/Istanbul
SCE,40.849278,-77.848694,1239,-5.0,A,America/New_York
BME,-17.8,122.2,56,8.0,O,Australia/Perth
NTL,-32.78,151.83,31,10.0,O,Australia/Sydney
,63.55805,-20.14833,45,0.0,N,Atlantic/Reykjavik
KLU,46.642514,14.337739,452,1.0,E,Europe/Vienna
CGU,8.288527,-62.760361,472,-4.5,U,America/Caracas
,53.1167,9.8,267,1.0,E,Europe/Berlin
HFT,70.679722,23.668889,799,1.0,E,Europe/Oslo
HVG,70.99,25.83,46,1.0,E,Europe/Oslo
